Name;Name2;Ordnung;Ordnung-lt;Familie;Familie-lt;Gattung;Art;Sorte;Winterhart;Staude;Preis;Karlsgarten;jährig;Synonym1;Varietät;Name3;Synonym2;link
afrikanischer Räuchersalbei;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;repens;;1;0;C;0;1;;;;;
Mandarinensalbei;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;elegans;;0;0;B;0;3;;;;;
Pfirsichsalbei;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;greggii;;0;0;B;0;3;;;;;
weißer Räuchersalbei;indianischer Räuchersalbei;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;apiana;;0;0;D;0;3;white Sage;;weißer Salbei;;
Samtsalbei;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;officinalis;;1;0;B;0;1;;;;;
indianischer Salbeistrauch;;Asternartige;Asterales;Korbblütler;Asteraceae;Artemisia;canariensis;;1;0;B;0;1;;;;;
Salzkraut;;Nelkenartige;Caryophyllales;Gänsefußgewächse;Chenopodiaceae;Salsola;soda;;0;0;B;0;1;;;;;
Sambung Nyawa;Blätter des Lebens;Asternartige;Asterales;Korbblütler;Asteraceae;Gynura;procumbens;;0;0;C;0;3;;;Pflanze gegen 100 Krankheiten;;
Schafgarbe;;Asternartige;Asterales;Korbblütler;Asteraceae;Achillea;millefolium;;1;0;B;0;1;;;;;
Schnauzenschreck;Verpiß dich;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Plectranthus;Caninus-Hybride;;0;0;B;0;1;;;Schnauzenschreck;;
Schnittknoblauch;Schnittknofel;Spargelartige;Asparagales;Lauchgewächse;Alliaceae;Allium;tuberosum;;1;0;B;0;1;;;;;
grüne Schwarznessel;Perilla;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Perilla;frutescens;;0;0;B;0;1;;;;;
rote Schwarznessel;Perilla;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Perilla;frutescens;;0;0;B;0;1;;;;;
Seifenkraut;;Nelkenartige;Caryophyllales;Nelkengewächse;Caryophyllaceae;Saponaria;officinalis;;1;1;B;0;1;;;;;
roter Sonnenhut;;Asternartige;Asterales;Korbblütler;Asteraceae;Echinacea;purpurea;;1;0;B;0;1;;;;;
Spargel;;Spargelartige;Asparagales;Spargelgewächse;Asparagaceae;Asparagus;officinalis;;1;1;B;0;1;;;;;
Süßkartoffel;Batate;Nachtschattenartige;Solanales;Windengewächse;Convolvulaceae;Ipomoea;batatas;;0;0;C;0;3;;;;;
aztekisches Süßkraut;;Lippenblütlerartige;Lamiales;Eisenkrautgewächse;Verbenaceae;Lippia;dulcis;;0;0;C;0;3;;;;;
Tausendguldenkraut;Tausendgüldenkraut;Enzianartige;Gentianales;Enziangewächse;Gentianaceae;Centaurium;erythraea;;0;0;A;1;1;Kopfiges Tausendguldenkraut;;Echtes Tausendguldenkraut;;
Teebaum;;Myrtenartige;Myrtales;Myrtengewächse;Myrtaceae;Leptospermum;laevigatum;;0;0;D;0;3;;;;;
Feldthymian;Quendel;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Thymus;serpyllum;;1;0;A;0;1;;;;;
Kümmelthymian;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Thymus;herba-barona;;1;0;B;0;1;;;;;
Steinpilzthymian;langstängeliger Thymian;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Thymus;longicaulis;;1;0;B;0;1;;odoratus;Kaskadenthymian;;
Topinambur;Erdschocke;Asternartige;Asterales;Korbblütler;Asteraceae;Helianthus;tuberosus;;1;1;B;0;1;;;;;
Vanille;;Spargelartige;Asparagales;Orchideen;Orchidaceae;Vanilla;fragrans;;0;0;D;0;3;;;;;
Venuskamm;Nadelkerbel;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Scandix;pectan-veneris;;0;0;B;0;1;;;;;
Winterheckezwiebel;Winter-Zwiebel;Spargelartige;Asparagales;Lauchgewächse;Alliaceae;Allium;fistulosum;;1;0;B;1;1;;;;;
Heilziest;Echter Ziest;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Stachys;officinalis;;1;1;C;0;1;;;;;
Knollenziest;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Stachys;affinis;;1;1;C;0;1;;;;;
Zimmerknofel;Knoblauchs-Kaplilie;Lilienartige;Liliales;Liliengewächse;Liliaceae;Tulbaghia;violacea;;0;0;C;0;3;;;;;
Zuckerwurzel;Süßwurzel;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Sium;sisarum;;1;0;B;0;1;;;Zucker-Merk;;
Färberkamille;Färberhundskamille;Asternartige;Asterales;Korbblütler;Asteraceae;Anthemis;tinctoria;;1;1;B;0;1;;;;;
Zwerglampionblume;Blasenkirsche;Nachtschattenartige;Solanales;Nachtschattengewächse;Solanaceae;Physalis;alkekengi;;1;1;B;0;1;;;;;
Lungenkraut;echtes Lungenkraut;Nachtschattenartige;Solanales;Rauhblattgewächse;Boraginaceae;Pulmonaria;officinalis;;1;1;B;0;1;;;Kleingeflecktes Lungenkraut;;
Maca;peruanischer Ginseng;Kapernartige;Capparales;Kreuzblütengewächse;Brassicaceae;Lepidium;meyenii;;1;1;B;0;1;;;;;
Haferwurz;Haferwurzel;Asternartige;Asterales;Korbblütler;Asteraceae;Tragopogon;porrifolius;;1;1;B;0;1;;;;;
Pfefferbasilikum;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Ocimum;selloi;`Green PepperÂ´;0;0;B;0;3;;;;;
Andenchili;Parakresse;Asternartige;Asterales;Korbblütler;Asteraceae;Acmella;oleracea;;0;0;B;0;3;Zahnwehpflanze;;Prickelköpfchen;;
Andenbeere;;Nachtschattenartige;Solanales;Nachtschattengewächse;Solanaceae;Physalis;peruviana;;0;0;C;0;3;;;;;
Gotu Kola;Asiatisches Sumpfpfennigkraut;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Centella;asiatica;;0;0;B;0;1;;;;;
Veilchen;Duftveilchen;Veilchenartige;Violales;Veilchengewächse;Violaceae;Viola;odorata;;1;0;C;0;1;Wohlriechendes Veilchen;;Märzveilchen;;
Basilienkraut;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Ocimum;kilimandscharicum;'AFRICAN BLUE';0;0;B;0;3;;;;;
Kalmus;;Kalmusartige;Acorales;Kalmusgewächse;Acoraceae;Acorus;calamus;;1;1;D;0;1;;;;;
Bananenminze;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Mentha;arvensis;`BananaÂ´;1;1;B;0;;;;;;
Odermennig;;Rosenartige;Rosales;Rosengewächse;Rosaceae;Agrimonia;eupatoria;;1;1;C;0;3;;;;;
Schöllkraut;Warzenkraut;Mohnartige;Papaverales;Mohngewächse;Papaveraceae;Chelidonium;majus;;0;0;B;0;;;;;;
Spitzwegerich;;Wegerichartige;Plantaginales;Wegerichgewächse;Plantaginaceae;Plantago;lanceolata;;1;0;B;0;3;;;;;
Ammei;;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Trachyspermum;ammi;;0;0;;1;;Trachyspermum copticum;;;Ammi copticus;
Apfel;;Rosenartige;Rosales;Rosengewächse;Rosaceae;Malus;domestica;;0;0;;1;;;;;;
Bärwurz;;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Meum;athamanticum;;0;0;;1;;;;;;
Bergkümmel;Berglaserkraut;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Laserpitium;siler;;0;0;;1;;;;;;
Birne;;Rosenartige;Rosales;Rosengewächse;Rosaceae;Pyrus;communis;;0;0;;1;;;;;;
Erbse;;Schmellterlingsblütenartige;Fabales;Hülsenfrüchtler;Fabaceae;Pisum;sativum;;0;0;;1;;;;;;
Esskastanie;;Buchenartige;Fagales;Buchengewächse;Fagaceae;Castanea;sativa;;0;0;;1;;;;;;
Feige;;Brennesselartige;Urticales;Maulbeergewächse;Moraceae;Ficus;carica;;0;0;;1;;;;;;
Flaschenkürbis;Kalebasse;Veilchenartige;Violales;Kürbisgewächse;Cucurbitaceae;Lagenaria;siceraria;;0;0;;1;;Cucurbita lagenaria;;;;
Griechisch Heu;;Schmellterlingsblütenartige;Fabales;Hülsenfrüchtler;Fabaceae;Trigonella;foenum-graecum;;0;0;;1;;;;;;
Gurke;;Veilchenartige;Violales;Kürbisgewächse;Cucurbitaceae;Cucumis;sativus;;0;0;;1;1;;;;;
Haselnuss;;Buchenartige;Fagales;Birkengewächse;Betulaceae;Corylus;avellana;;1;0;;1;;;;;;
Hauswurz;Dach-Hauswurz;Steinbrechartige;Saxifragales;Dickblattgewächse;Crassulaceae;Sempervivum;tectorum;;1;0;;1;;;;;;
Helmbohne;Faselbohne;Schmellterlingsblütenartige;Fabales;Hülsenfrüchtler;Fabaceae;Lablab;purpureus;;0;0;;1;1;Dolichos lablab;;;;
Weberkarde;;Kardenartige;Dipsacales;Kardengewächse;Dipsacaceae;Dipsacus;sativus;;1;0;;1;2;;;;;
Kardone;;Asternartige;Asterales;Korbblütler;Asteraceae;Cynara;cardunculus;;0;0;;1;;;;;;
Käsepappel;Wegmalve;Malvenartige;Malvales;Malvengewächse;Malvaceae;Malva;neglecta;;0;0;;1;2;Malva neglecta;;;;
Kichererbse;;Schmetterlingsblütenartige;Fabales;Hülsenfrüchtler;Fabaceae;Cicer;arietinum;;0;0;;1;1;;;;;
Sauerkirsche;Weichsel;Rosenartige;Rosales;Rosengewächse;Rosaceae;Prunus;cerasus;;0;0;;1;;;;;;
Süßkirsche;Vogelkirsche;Rosenartige;Rosales;Rosengewächse;Rosaceae;Prunus;avium;;0;0;;1;;;;;;
Große Klette;Klette;Asternartige;Asterales;Korbblütler;Asteraceae;Arctium;lappa;;0;0;;1;;;;;;
Knoblauch;Knofel;Spargelartige;Asparagales;Lauchgewächse;Alliaceae;Allium;sativum;;0;0;;1;;;;;;
Schlangenknöterich;Schlangenwiesenknöterich;Kapernartige;Capparales;Kreuzblütengewächse;Brassicaceae;Bistorta;officinalis;;0;0;;1;;Polygonum bistorta;officinalis;;;
Kohl;;Kapernartige;Capparales;Kreuzblütengewächse;Brassicaceae;Brassica;oleracea;;0;0;;1;;;;;;
Kohlrabi;;Kapernartige;Capparales;Kreuzblütengewächse;Brassicaceae;Brassica;oleracea;;0;0;;1;;;gongylodes;;;
Koloquinthe;Bittermelone;Veilchenartige;Violales;Kürbisgewächse;Cucurbitaceae;Citrullus;colocynthis;;0;0;;1;;;;;;
Kostuswurzel;;Asternartige;Asterales;Korbblütler;Asteraceae;Saussurea;costus;;0;0;;1;;;;;;
Kreuzkümmel;;Veilchenartige;Violales;Kürbisgewächse;Cucurbitaceae;Cuminum;cyminum;;0;0;;1;;;;;;
Kuhbohne;Spargelbohne;Schmetterlingsblütenartige;Fabales;Hülsenfrüchtler;Fabaceae;Vigna;unguiculata;;0;0;;1;;;;;;
Lattich;Gartenlattich;Asternartige;Asterales;Korbblütler;Asteraceae;Lactuca;sativa;;0;0;;1;;;;Grüner Salat;;
Giftlattich;;Asternartige;Asterales;Korbblütler;Asteraceae;Lactuca;virosa;;0;0;;1;;;;;;
Winterlauch;Lauch;Spargelartige;Asparagales;Lauchgewächse;Alliaceae;Allium;porrum;;0;0;;1;;;;Breitlauch;;
Madonnenlilie;Weiße Lilie;Lilienartige;Liliales;Liliengewächse;Liliaceae;Lilium;candidum;;0;0;;1;;;;;;
Mandel;Mandelbaum;Rosenartige;Rosales;Rosengewächse;Rosaceae;Prunus;dulcis;;0;0;;1;;;;;;
Mangold;;Nelkenartige;Caryophyllales;Gänsefußgewächse;Chenopodiaceae;Beta;vulgaris;;0;0;;1;;;cicla;;;
Schwarze Maulbeere;Maulbeere;Brennesselartige;Urticales;Maulbeergewächse;Moraceae;Morus;nigra;;0;0;;1;;;;;;
Meerzwiebel;echte Meerzwiebel;Spargelartige;Asparagales;Hyazinthengewächse;Hyacinthaceae;Urginea;maritima;;0;0;;1;;Scilla;;weiße Meerzwiebel;;
Meier;;Nelkenartige;Caryophyllales;Fuchsschwanzgewächse;Amaranthaceae;Amaranthus;blitum;;0;0;;1;1;;;;;
Gartenmelde;Spanischer Salat;Nelkenartige;Caryophyllales;Gänsefußgewächse;Chenopodiaceae;Atriples;hortensis;;1;0;;1;;;;;;
Rossminze;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Mentha;longifolia;;0;0;;1;;;;;;
Mispel;;Rosenartige;Rosales;Rosengewächse;Rosaceae;Mespilus;germanica;;0;0;;1;;;;;;
Schlafmohn;;Mohnartige;Papaverales;Mohngewächse;Papaveraceae;Papaver;somniferum;;0;0;;1;;;;;;
Möhre;Karotte;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Daucus;carota;;0;0;;1;;;;;;
Mutterwurz;;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Ligusticum;mutellina;;0;0;;1;;;;;;
Ölrauke;Rukola;Kapernartige;Capparales;Kreuzblütengewächse;Brassicaceae;Eruca;stiva;;0;0;;1;;Gartensenfrauke;;Senfrauke;Rucola;
Pastinak;Echter Pastinak;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Pastinaca;sativa;;0;0;;1;2;;;Hammelsmöhre;;
Pfirsich;;Rosenartige;Rosales;Rosengewächse;Rosaceae;Prunus;persica;;0;0;;1;;;persica;;;
Pflaume;Zwetschge;Rosenartige;Rosales;Rosengewächse;Rosaceae;Prunus;domestica;;0;0;;1;;;domestica;;;
Pinie;Schirmkiefer;Kiefernartige;Pinales;Kieferngewächse;Pinaceae;Pinus;pinea;;1;0;;1;;;;;;
Quitte;Echte Quitte;Rosenartige;Rosales;Rosengewächse;Rosaceae;Cydonia;oblonga;;0;0;;1;;;;;;
Rettich;Radi;Kapernartige;Capparales;Kreuzblütengewächse;Brassicaceae;Raphanus;sativus;;0;0;;1;1;;niger;Gartenrettich;;
Hundsrose;;Rosenartige;Rosales;Rosengewächse;Rosaceae;Rosa;canina;;1;0;;1;;;;;;
Sadebaum;Wacholder;Kiefernartige;Pinales;Zypressengewächse;Cupressaceae;Juniperus;sabina;;1;0;;1;;;;Stinkwacholder;;
Saubohne;Puffbohne;Schmetterlingsblütenartige;Fabales;Hülsenfrüchtler;Fabaceae;Vicia;faba;;0;0;;1;1;;faba;;;
Schalotte;;Spargelartige;Asparagales;Lauchgewächse;Alliaceae;Allium;cepa;;1;0;;1;;;Aggregatum Grp.;;;
Schwarzkümmel;;Hahnenfußartige;Ranunculales;Hahnenfußgewächse;Ranunculaceae;Nigella;sativa;;0;0;;1;1;;;;;
Deutsche Schwertlilie;;Lilienartige;Liliales;Schwertliliengewächse;Iridaceae;Iris;x germanica;;1;0;;1;;;germanica;;;
Sellerie;Zeller;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Apium;graveolens;;0;0;;1;2;;;Eppich;;
Senf;Weißer Senf;Kapernartige;Capperales;Kreuzblütengewächse;Brassicaceae;Sinapis;alba;;0;0;;1;;;;;;
Siegwurz;Saat-Siegwurz;Lilienartige;Liliales;Schwertliliengewächse;Iridaceae;Gladiolus;italicus;;1;0;;1;;;;;;
Europäische Sonnenwende;;Nachtschattenartige;Solanales;Rauhblattgewächse;Boraginaceae;Heliotropium;europaeum;;0;0;;1;1;;;;;
Speierling;;Rosenartige;Rosales;Rosengewächse;Rosaceae;Sorbus;domestica;;1;0;;1;;;;;;
Stoppelrübe;Herbstrübe;Kapernartige;Capparales;Kreuzblütengewächse;Brassicaceae;Brassica;rapa;;0;0;;1;2;Weiße Rübe;rapa;Wasserrübe;;
Walnuss;;Walnussartige;Juglandales;Walnussgewächse;Juglandaceae;Juglans;regia;;1;0;;1;;;;;;
Wegwarte;;Asternartige;Asterales;Korbblütler;Asteraceae;Cichorium;intybus;;0;0;;1;;;;;;
Kreuzblättrige Wolfsmilch;;Wolfsmilchartige;Euphorbiales;Wolfsmilchgewächse;Euphorbiaceae;Euphorbia;lathyrus;;0;0;;1;2;;;;;
Weiße Zaunrübe;Schwarzfrüchtige Zaunrübe;Veilchenartige;Violales;Kürbisgewächse;Cucurbitaceae;Bryonia;alba;;1;0;;1;;;;;;
Zuckermelone;;Veilchenartige;Violales;Kürbisgewächse;Cucurbitaceae;Cucumis;melo;;0;0;;1;1;;Cantalupensis Grp.;;;
Zwiebel;Küchenzwiebel;Spargelartige;Asparagales;Lauchgewächse;Alliaceae;Allium;cepa;;0;0;;1;;;Cepa Grp.;Sommerzwiebel;;
Austernpflanze;;Raublattartige;Boraginales;Raublattgewächse;Boraginaceae;Mertensia;maritima;;0;0;;0;;;;;;
steirisches Strauchbasilikum;;;;;;;;;0;0;;0;;;;;;
weißes Basilikum;;;;;;;;;0;0;;0;;;;;;
schwarzes Bilsenkraut;;;;;;Hyoscyamus;niger;;0;0;;0;;;;;;
weißes Bilsenkraut;gelbes Bilsenkraut;;;;;Hyoscyamus;albus;;0;0;;0;;;;helles Bilsenkraut;;
Blutwurz;Tormentill;;;;;Potentilla;erecta;;0;0;;0;;;;;;
Boatzkräutl;Bohnenkraut;;;;;Satureja;hortensis;;0;0;;0;1;;Boatzkräutl;;;
Chili;;;;;;;;;0;0;;0;1;;;;;
Cistrose;;;;;;Cistus;incanus;;0;0;;0;3;;;;;
Speisechrysantheme;;;;;;;;;0;0;;0;;;;;;
schmalblättrige Damiana;;;;;;Turnera;diffusa;;0;0;;0;;;;;;
großblättrige Damiana;;;;;;Turnera;ulmifolia;;0;0;;0;;;;;;
Eiskraut;ausdauerndes Eiskraut;;;;;Aptenia;cordifolia;;0;0;;0;;;;Herzblättrige Mittagsblume;;
Engelwurz;Angelika;;;;;Angelica;archangelika;;0;0;;0;;;;;;
Färberwaid;;;;;;;;;0;0;;0;;;;;;
Färberwau;;;;;;;;;0;0;;0;;;;;;
indischer Flohsame;;;;;;;;;0;0;;0;;;;;;
echtes Herzgespann;;;;;;Leonurus;cardiaca;;0;0;;0;;;;;;
Hirschwurzel;;;;;;;;;0;0;;0;;;;;;
Weberkarde;Karde;Kardenartige;Dipsacales;Kardengewächse;Dipsacaceae;Dipsacus;sativus;;0;0;;0;;;;;;
Kardone;Cardy;Asternartige;Asterales;Korbblütler;Asteraceae;Cynara;cardunculus;;0;0;;0;;;;;;
Knoblauchgamander;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Teucrium;scordium;;0;0;;0;;;;;;
Bockshornklee;;;;;;Trigonella;foenum-graecum;;0;0;;0;;;;;;
Schabzigerklee;;;;;;;;;0;0;;0;;;;;;
Kresse;;;;;;;;;0;0;;0;;;;;;
Kroatzbeere;;;;;;Rubus;caesius;;0;0;;0;;;;;;
französischer Lavendel;;;;;;;;GROSSO;0;0;;0;;;;;;
Lein;;;;;;Linum;;;0;0;;0;;;;;;
Löffelkraut;;;;;;;;;0;0;;0;;;;;;
moldawische Melisse;;;;;;;;;0;0;;0;1;;;;;
Meisterwurz;;;;;;;;;0;0;;0;;;;;;
kleine Katzenminze;;;;;;Nepeta;faassenii;;1;1;;0;;;;;;
kriechende Poleiminze;;;;;;;;;1;1;;0;3;;;;;
Nelkenwurz;;;;;;Geum;;;0;0;;0;;;;;;
Olivenkraut;;;;;;Santolina;;;0;0;;0;;;;;;
Passionsblume;;;;;;Passiflora;;;0;0;;0;;;;;;
heilende Passionsblume;;;;;;Passiflora;incarnata;;0;0;;0;;;;;;
Bibernelle;kleine Bibernelle;Doldenblütlerartige;Apiales;Doldenblütler;Apiaceae;Pimpinella;saxifraga;;0;0;;0;;;;;;
Pilzkraut;;;;;;Rungia;klossii;;0;0;;0;;;;;;
wilder Portulak;;;;;;Portulaca;;;0;0;;0;;;;;;
Queller;;;;;;Salicornia;europaea;;0;0;;0;;;;;;
Rizinus;;;;;;Ricinus;communis;;0;0;;0;;;;;;
Rosmarin ARP;;;;;;;;ARP;0;0;;0;;;;;;
Rosmarin Veitshöchheim;;;;;;;;Veitshöchheim;0;0;;0;;;;;;
Honigmelonensalbei;;;;;;;;;0;0;;0;;;;;;
Johannisbeersalbei;;;;;;;;;0;0;;0;;;;;;
mexikanischer Salbei;;;;;;Lepichinia;hastata;;0;0;;0;;;;;;
Pfeffersalbei;;;;;;;;;0;0;;0;;;;;;
Präriesalbei;;;;;;;;;0;0;;0;;;;;;
Silberblattsalbei;;;;;;;;;0;0;;0;;;;;;
kleiner Sauerampfer;;;;;;;;;0;0;;0;;;;;;
Süssdolde;;;;;;;;;0;0;;0;;;;;;
Mattenthymian;;;;;;;;;0;0;;0;;;;;;
Tollkirsche;schwarzfrüchtige Tollkirsche;;;;;Atropa;belladonna;;0;0;;0;;;;schwarze Tollkirsche;;
Tüpfelfarn;Engelsüß;Tüpfelfarnartige;Polypodiales;Tüpfelfarngewächse;Polypodiaceae;Polypodium;vulgare;;1;0;;0;3;;;;;
Alraune;;;;;;Mandragora;officinarum;;0;0;E;0;;;;;;
Frühlings-Adonis;Adonisröschen;;;;;Adonis;vernalis;;0;0;;0;;;;Frühlings-Adonisröschen;;
Sommer-Adonis;Adonisröschen;;;;;Adonis;aestivalis;;0;0;;0;;;;Sommer-Adonisröschen;;
Herbst-Adonis;Adonisröschen;;;;;Adonis;annua;;0;0;;0;;;;Herbst-Adonisröschen;;
Amarant;Fuchsschwanz;;;;;Amaranthus;blitum;;0;0;;0;;;;;;
Canum Basilikum;Tulsi canum;;;;;Ocimum;canum;;0;0;;0;;;;;;
Färberdistel;;;;;;Carthamus;tinctoris;;0;0;;0;;;;;;
europäische Goldrute;echte Goldrute;;;;;Solidago;virgaurea;;0;0;;0;;;;gemeine Goldrute;;
Steinklee;Echter Steinklee;;;;;Meliotus;officinalis;;0;0;;0;;;;Gelber Steinklee;;
Gartenkresse;;;;;;Lepidium;sativum;;0;0;;0;;;;;;
Süßholz;;;;;;Glycyrrhiza;glabra;;0;0;;0;;;;;;
Schmalblättriger Sonnenhut;;;;;;Echinacea;angustifolia;;0;0;;0;;;;;;
Gelbe Tollkirsche;Gelbfrüchtige Tollkirsche;;;;;Atropa;belladonna;`Lutea`;0;0;;0;;;;;;
echter Haarstrang;;;;;;Peucedanum;officinale;;0;0;;0;;;;;;
Faserhanf;Nutzhanf;;;;;Cannabis;sativa;;0;0;;0;;;sativa;;;
Huflattich;;;;;;Tussilago;farfara;;0;0;;0;;;;;;
Schabenkönigskerze;;;;;;Verbascum;blattaria;;0;0;;0;;;;;;
Salzmelde;;;;;;Atriplex;halimus;;0;0;;0;;;;;;
Virginiatabak;;;;;;Nicotiana;tabacum;;0;0;;0;;;;;;
Bauerntabak;;;;;;Nicotiana;rustica;;0;0;;0;;;;;;
Ehrenpreis;Ähriger Ehrenpreis;;;;;Veronica;spicata;;0;0;;0;;Ähren-Blauweiderich;;Ähriger Blauweiderich;;
arabisches Bergkraut;;;;;;Micromeria;fruticosa;;0;0;;0;;;;;;
Schildampfer;römischer Ampfer;;;;;Rumex;scutatus;;0;0;;0;;;;;;
echte Aloe;;Spargelartige;Asparagales;Grasbaumgewächse;Xanthorrhoeaceae;Aloe;vera;;0;0;;0;3;;;;;
Eisenhut;Mönchshut;Hahnenfußartig;Ranunculales;Hahnenfußgewächse;Ranunlulaceae;Aconitum;napellus;;0;0;;0;;Würgling;;Ziegentod;Venuswagen;
